year,currentPop,popFromStart,numHouseholds,averageHouseholdSize,marriageTally,marriagePropNow,divorceTally,shareSingleParents,shareFemaleSingleParent,taxPayers,taxBurden,familyCareRatio,employmentRate,shareWorkingHours,publicSocialCare,costPublicSocialCare,sharePublicSocialCare,costTaxFreeSocialCare,publicChildCare,costPublicChildCare,sharePublicChildCare,costTaxFreeChildCare,totalTaxRevenue,totalPensionRevenue,pensionExpenditure,totalHospitalizationCost,classShare_1,classShare_2,classShare_3,classShare_4,classShare_5,totalInformalChildCare,formalChildCare,childcareIncomeShare,shareInformalChildCare,shareCareGivers,ratioFemaleMaleCarers,shareMaleCarers,shareFemaleCarers,ratioWage,ratioIncome,shareFamilyCarer,share_over20Hours_FamilyCarers,averageHoursOfCare,share_40to64_carers,share_over65_carers,share_10PlusHours_over70,totalSocialCareNeed,totalInformalSocialCare,totalFormalSocialCare,totalUnmetSocialCareNeed,totalSocialCare,share_InformalSocialCare,share_UnmetSocialCareNeed,totalOWSC,shareOWSC,totalCostOWSC,q1_socialCareNeed,q1_informalSocialCare,q1_formalSocialCare,q1_unmetSocialCareNeed,q1_outOfWorkSocialCare,q2_socialCareNeed,q2_informalSocialCare,q2_formalSocialCare,q2_unmetSocialCareNeed,q2_outOfWorkSocialCare,q3_socialCareNeed,q3_informalSocialCare,q3_formalSocialCare,q3_unmetSocialCareNeed,q3_outOfWorkSocialCare,q4_socialCareNeed,q4_informalSocialCare,q4_formalSocialCare,q4_unmetSocialCareNeed,q4_outOfWorkSocialCare,q5_socialCareNeed,q5_informalSocialCare,q5_formalSocialCare,q5_unmetSocialCareNeed,q5_outOfWorkSocialCare,grossDomesticProduct,publicCareToGDP
1860,672,673,317,2.1198738170347005,5,0.94,22,0.041379310344827586,1.0,599,0.0,1.0,0.8764607679465777,1.0,0,0.0,0.0,0.0,0,0.0,0,0,39786.98329232534,27394.270271317044,2547.6908113929394,400.0,0.16666666666666666,0.36666666666666664,0.27,0.16333333333333333,0.03333333333333333,0,0,0.0,0,0.001669449081803005,1.0,0.0,0.0033333333333333335,0.7846065405155599,0.7834274658761036,1.0,0.0,8.0,0.0,0.0,0,8.0,8.0,0,0.0,8.0,1.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,321950.3347029359,0.0
1861,722,724,328,2.201219512195122,7,0.9033333333333333,18,0.07017543859649122,0.875,599,0.0,1.0,0.8046744574290484,1.0,0,0.0,0.0,0.0,0,0.0,0,0,37651.13571783437,25606.149351676228,2365.271526842018,400.0,0.1652754590984975,0.3672787979966611,0.2704507512520868,0.1636060100166945,0.0333889816360601,5760.0,0,0.0,1.0,0.001669449081803005,1.0,0.0,0.0033333333333333335,0.800827059582706,0.6334845169606172,1.0,0.0,8.0,0.0,0.0,0,8.0,8.0,0,0.0,8.0,1.0,0.0,0,0.0,0,8.0,8.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,299784.4377537118,0.0
1862,786,788,332,2.3674698795180724,11,0.89,15,0.0781758957654723,0.8333333333333334,599,0.0,1.0,0.8247078464106845,1.0,0,0.0,0.0,0.0,0,0.0,0.0,3594.1760803966636,38080.51856459797,26064.741677122533,2411.129261085989,800.0,0.1652754590984975,0.3672787979966611,0.2704507512520868,0.1636060100166945,0.0333889816360601,6120.0,1692.2354067446593,0.036592997442790674,0.7544378698224852,0.00333889816360601,0.5,0.0033444816053511705,0.0033333333333333335,0.7634536227840484,0.6555904660568688,1.0,0.0,8.0,0.0,0.0,0,16.0,16.0,0,0.0,16.0,1.0,0.0,0,0.0,0,0.0,0,0,0.0,0,8.0,8.0,0,0.0,0,0.0,0,0,0.0,0,8.0,8.0,0,0.0,0,0.0,0,0,0.0,0,305258.18635031924,0.0
1863,837,841,338,2.4763313609467454,10,0.87,16,0.11080332409972299,0.85,599,13.937896494156927,0.8571428571428571,0.8163606010016694,0.9965235173824131,0,0.0,0.0,0.0,96.0,576.0,0.01396973224679865,6161.633561861862,37985.370774136994,25697.830087207087,2381.56751395654,3200.0,0.1652754590984975,0.3672787979966611,0.2704507512520868,0.1636060100166945,0.0333889816360601,8507.0,2607.5962695424796,0.058886895285974954,0.72486366734833,0.01335559265442404,0.5,0.013377926421404682,0.013333333333333334,0.7721943397964354,0.6435954390721574,1.0,0.0,6.0,0.125,0.0,0,56.0,48.0,0,8.0,48.0,1.0,0.14285714285714285,4.0,0.08333333333333333,68.87646164996558,16.0,8.0,0,8.0,0,24.0,24.0,0,0.0,0,8.0,8.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,301839.952256998,0.0
1864,893,899,343,2.6034985422740524,10,0.8528428093645485,16,0.13930348258706468,0.8571428571428571,598,27.92240802675585,0.8,0.8160535117056856,0.978688524590164,0,0.0,0.0,0.0,1500.0,9000.0,0.1450116009280742,7282.950533508558,38497.4587796309,25422.246601599672,2362.581484781173,4670.299690643706,0.1652754590984975,0.3672787979966611,0.2704507512520868,0.1636060100166945,0.0333889816360601,9352.0,2982.157347782288,0.06459864537761514,0.7191633343586589,0.016722408026755852,0.4,0.020066889632107024,0.013377926421404682,0.7442550807301306,0.6211831695143925,1.0,0.0,6.4,0.2,0.0,0,80.0,64.0,0,16.0,64.0,1.0,0.2,0,0.0,0,8.0,0,0,8.0,0,56.0,48.0,0,8.0,0,8.0,8.0,0,0.0,0,8.0,8.0,0,0.0,0,0.0,0,0,0.0,0,300177.8538593476,0.0
1865,942,949,340,2.7705882352941176,17,0.8595317725752508,14,0.13711583924349882,0.8275862068965517,597,27.969179229480734,0.8461538461538461,0.8207705192629816,0.9720408163265306,0,0.0,0.0,0.0,2520.0,15120.0,0.19010259505129756,8632.255288566206,39245.92164381539,25853.994301190403,2387.2300843556213,6060.612117049791,0.16387959866220736,0.36789297658862874,0.2709030100334448,0.16387959866220736,0.033444816053511704,10984.0,3373.7105081320815,0.07291075488161622,0.714360041623309,0.021775544388609715,0.5384615384615384,0.020134228187919462,0.023411371237458192,0.760700939046066,0.643353848913971,1.0,0.0,6.769230769230769,0.15384615384615385,0.0,0,104.0,88.0,0,16.0,88.0,1.0,0.15384615384615385,0,0.0,0,8.0,8.0,0,8.0,0,64.0,56.0,0,8.0,0,16.0,16.0,0,0.0,0,8.0,8.0,0,0.0,0,0.0,0,0,0.0,0,303822.92438056757,0.0
1866,985,996,343,2.871720116618076,11,0.8451178451178452,14,0.1489841986455982,0.8181818181818182,594,26.353535353535353,0.90625,0.8265993265993266,0.9710794297352342,0,0.0,0.0,0.0,4660.0,27960.0,0.282355792535143,9648.717401417482,38270.3936640146,25435.523311694462,2363.815407946722,8919.354384497969,0.16415410385259632,0.3685092127303183,0.2696817420435511,0.16415410385259632,0.03350083752093802,10978.0,3825.2297279165136,0.08278945330109852,0.6963968535904592,0.030303030303030304,0.5555555555555556,0.026936026936026935,0.03367003367003367,0.7573056774054243,0.6618574407771244,1.0,0.0,8.0,0.2222222222222222,0.0,0,160.0,144.0,1.0,15.0,145.0,0.993103448275862,0.09375,0,0.0,0,32.0,16.0,1.0,15.0,0,56.0,56.0,0,0.0,0,48.0,48.0,0,0.0,0,16.0,16.0,0,0.0,0,0.0,0,0,0.0,0,300087.4577703811,0.0
1867,1028,1040,340,3.023529411764706,15,0.8547297297297297,12,0.16192560175054704,0.7567567567567568,593,59.835413153457,0.8152173913043478,0.8296795952782462,0.9520325203252032,0,0.0,0.0,0.0,6312.0,37872.0,0.32793017456359097,9417.067349978743,38462.484741223176,24847.172322509497,2337.5500225950095,10667.449343764561,0.1632996632996633,0.367003367003367,0.27104377104377103,0.16498316498316498,0.03367003367003367,12071.0,3653.4120715615827,0.08307127670039004,0.7229875419262098,0.03372681281618887,0.6,0.026936026936026935,0.04054054054054054,0.7679454436682202,0.6720313617686057,0.95,0.0,7.5,0.4,0.0,0,184.0,150.0,0,34.0,150.0,1.0,0.18478260869565216,0,0.0,0,56.0,30.0,0,34.0,0,56.0,56.0,0,0.0,0,56.0,56.0,0,0.0,0,8.0,8.0,0,0.0,0,0.0,0,0,0.0,0,296962.06841911224,0.0
1868,1079,1091,333,3.24024024024024,18,0.8783783783783784,11,0.1419624217118998,0.7941176470588235,593,100.3123102866779,0.715,0.8246205733558178,0.9478527607361963,0,0.0,0.0,0.0,8204.0,49224.0,0.3749542961608775,9859.408981764269,36579.39802945163,24252.710729208517,2290.587123908975,12446.76752322375,0.163575042158516,0.3676222596964587,0.26981450252951095,0.16526138279932545,0.03372681281618887,12429.0,3814.787043587976,0.08546132468552968,0.7227843684577809,0.03204047217537943,0.631578947368421,0.02356902356902357,0.04054054054054054,0.7214074291332356,0.6388685904229278,0.9473684210526315,0.0,7.526315789473684,0.42105263157894735,0.0,0,200.0,143.0,0,57.0,143.0,1.0,0.285,0,0.0,0,88.0,47.0,0,57.0,0,40.0,40.0,0,0.0,0,48.0,48.0,0,0.0,0,8.0,8.0,0,0.0,0,0.0,0,0,0.0,0,289761.408034529,0.0
1869,1112,1126,336,3.3095238095238093,12,0.8648648648648649,15,0.18181818181818182,0.7555555555555555,592,141.02702702702703,0.6153846153846154,0.839527027027027,0.9464788732394366,0,0.0,0.0,0.0,9784.0,58704.0,0.40190601380216895,9772.920856423545,37211.70221083447,24574.211223864004,2324.037868169516,13746.143965675305,0.163575042158516,0.3676222596964587,0.26981450252951095,0.16526138279932545,0.03372681281618887,13718.0,3824.7491030855813,0.0839533470075319,0.7391163793103448,0.02702702702702703,0.5,0.02702702702702703,0.02702702702702703,0.7937563065941943,0.6684916526469442,1.0,0.0,8.0,0.5,0.0,0,208.0,128.0,0,80.0,128.0,1.0,0.38461538461538464,0,0.0,0,112.0,48.0,0,72.0,0,32.0,24.0,0,8.0,0,48.0,48.0,0,0.0,0,8.0,8.0,0,0.0,0,0.0,0,0,0.0,0,294093.25824896415,0.0
